代码,名称,二级行业代码,二级行业名称,三级行业代码,三级行业名称
000001,平安银行,2069,银行,5186,银行Ⅱ
000002,万  科Ａ,2072,房地产,5191,房地产Ⅱ
000004,国农科技,2023,生物制品,5079,生物制品Ⅱ
000005,世纪星源,2082,环境保护,5216,环境保护Ⅱ
000006,深振业Ａ,2072,房地产,5191,房地产Ⅱ
000007,全新好,2075,多元金融,5190,多元金融Ⅱ
000008,神州高铁,2038,专用设备,5104,铁路设备
000009,中国宝安,2077,复合材料,5082,复合材料Ⅱ
000010,美丽生态,2080,园林工程,5203,园林工程Ⅱ
000011,深物业A,2072,房地产,5191,房地产Ⅱ
000012,南  玻Ａ,2032,建材,5090,玻璃
000014,沙河股份,2072,房地产,5191,房地产Ⅱ
000016,深康佳Ａ,2040,家电,5121,黑色家电
000017,深中华A,2046,摩托自行车,5132,助动车
000018,神州长城,2054,工程建筑,5194,建筑装饰
000019,深深宝Ａ,2009,食品饮料,5214,饮料
000020,深华发Ａ,2047,电子元器件,5140,显示器件
000021,深科技,2049,IT设备,5153,IT设备Ⅱ
000022,深赤湾Ａ,2060,港口,5182,港口Ⅱ
000023,深天地Ａ,2032,建材,5091,混凝土
000025,特  力Ａ,2066,零售业,5161,汽车服务
000026,飞亚达Ａ,2079,轻工产品,5217,家用轻工
000027,深圳能源,2052,电力,5135,火电
000028,国药一致,2024,医药流通,5080,医药流通Ⅱ
000029,深深房Ａ,2072,房地产,5191,房地产Ⅱ
000030,富奥股份,2043,汽车配件,5129,汽车配件Ⅱ
000031,中粮地产,2072,房地产,5191,房地产Ⅱ
000032,深桑达Ａ,2064,贸易,5159,贸易Ⅱ
000034,神州数码,2066,零售业,5165,其他商业
000035,中国天楹,2082,环境保护,5216,环境保护Ⅱ
000036,华联控股,2072,房地产,5191,房地产Ⅱ
000037,深南电A,2052,电力,5135,火电
000038,深大通,2073,文化传媒,5172,广告
000039,中集集团,2033,金属制品,5093,金属制品Ⅱ
000040,东旭蓝天,2072,房地产,5191,房地产Ⅱ
000042,中洲控股,2072,房地产,5191,房地产Ⅱ
000043,中航地产,2072,房地产,5191,房地产Ⅱ
000045,深纺织Ａ,2047,电子元器件,5140,显示器件
000046,泛海控股,2072,房地产,5191,房地产Ⅱ
000048,康达尔,2003,饲料加工,5008,饲料加工Ⅱ
000049,德赛电池,2079,轻工产品,5176,普通电池
000050,深天马Ａ,2047,电子元器件,5140,显示器件
000055,方大集团,2054,工程建筑,5194,建筑装饰
000056,皇庭国际,2072,房地产,5191,房地产Ⅱ
000058,深 赛 格,2066,零售业,5163,超市连锁
000059,华锦股份,2005,石油石化,5011,石油加工
000060,中金岭南,2007,有色金属,5021,金属采掘
000061,农 产 品,2066,零售业,5165,其他商业
000062,深圳华强,2066,零售业,5165,其他商业
000063,中兴通讯,2048,通信设备,5148,通信方案提供商
000065,北方国际,2054,工程建筑,5193,专业工程
000066,中国长城,2049,IT设备,5153,IT设备Ⅱ
000068,华控赛格,2047,电子元器件,5140,显示器件
000069,华侨城Ａ,2072,房地产,5191,房地产Ⅱ
000070,特发信息,2048,通信设备,5149,光纤光缆
000078,海王生物,2024,医药流通,5080,医药流通Ⅱ
000088,盐 田 港,2060,港口,5182,港口Ⅱ
000089,深圳机场,2061,机场,5183,机场Ⅱ
000090,天健集团,2054,工程建筑,5192,一般工程
000096,广聚能源,2005,石油石化,5012,石油贸易
000099,中信海直,2058,航空运输,5180,航空运输Ⅱ
000100,TCL 集团,2040,家电,5121,黑色家电
000150,宜华健康,2025,医疗服务,5205,医疗服务Ⅱ
000151,中成股份,2064,贸易,5159,贸易Ⅱ
000153,丰原药业,2021,医药制造,5072,化学药剂
000155,*ST川化,2016,化工,5055,其他化工制品
000156,华数传媒,2073,文化传媒,5171,有线电视网络
000157,中联重科,2034,工程机械,5098,工程机械Ⅱ
000158,常山北明,2011,纺织,5036,棉纺
000159,国际实业,2005,石油石化,5012,石油贸易
000166,申万宏源,2070,证券期货,5188,证券
000301,东方市场,2052,电力,5135,火电
000333,美的集团,2040,家电,5122,白色家电
000338,潍柴动力,2043,汽车配件,5128,汽车发动机
000400,许继电气,2039,电气设备,5115,电气自控设备
000401,冀东水泥,2029,水泥,5087,水泥Ⅱ
000402,金 融 街,2072,房地产,5191,房地产Ⅱ
000403,ST生化,2023,生物制品,5076,血液制品
000404,华意压缩,2040,家电,5122,白色家电
000407,胜利股份,2053,公用事业,5137,供气
000408,藏格控股,2017,化肥,5057,钾肥
000409,山东地矿,2078,综合行业,5199,综合行业Ⅱ
000410,*ST沈机,2035,机床设备,5099,机床
000411,英特集团,2024,医药流通,5080,医药流通Ⅱ
000413,东旭光电,2047,电子元器件,5140,显示器件
000415,渤海金控,2075,多元金融,5190,多元金融Ⅱ
000416,民生控股,2075,多元金融,5190,多元金融Ⅱ
000417,合肥百货,2066,零售业,5162,百货
000418,小天鹅Ａ,2040,家电,5122,白色家电
000419,通程控股,2066,零售业,5162,百货
000420,吉林化纤,2020,化纤,5061,粘胶纤维
000421,南京公用,2053,公用事业,5137,供气
000422,湖北宜化,2017,化肥,5056,氮肥
000423,东阿阿胶,2022,中药,5073,民族药
000425,徐工机械,2034,工程机械,5098,工程机械Ⅱ
000426,兴业矿业,2007,有色金属,5021,金属采掘
000428,华天酒店,2067,酒店餐饮,5166,酒店
000429,粤高速Ａ,2059,高速公路,5181,高速公路Ⅱ
000430,张家界,2068,旅游,5169,旅游服务
000488,晨鸣纸业,2014,造纸,5043,普通纸
000498,山东路桥,2054,工程建筑,5192,一般工程
000501,鄂武商Ａ,2066,零售业,5162,百货
000502,绿景控股,2025,医疗服务,5205,医疗服务Ⅱ
000503,海虹控股,2076,互联网,5158,互联网Ⅱ
000504,南华生物,2023,生物制品,5075,基因工程药物
000505,珠江控股,2072,房地产,5191,房地产Ⅱ
000506,中润资源,2008,有色矿采,5201,黄金
000507,珠海港,2060,港口,5182,港口Ⅱ
000509,华塑控股,2032,建材,5092,其他建材
000510,金路集团,2016,化工,5048,氯碱
000511,*ST烯碳,2077,复合材料,5082,复合材料Ⅱ
000513,丽珠集团,2021,医药制造,5072,化学药剂
000514,渝 开 发,2072,房地产,5191,房地产Ⅱ
000516,国际医学,2025,医疗服务,5205,医疗服务Ⅱ
000517,荣安地产,2072,房地产,5191,房地产Ⅱ
000518,四环生物,2021,医药制造,5072,化学药剂
000519,中兵红箭,2045,航天国防,5130,航天国防Ⅱ
000520,长航凤凰,2057,水上运输,5178,内河沿海运输
000521,美菱电器,2040,家电,5122,白色家电
000523,广州浪奇,2019,日用化工,5066,日用化工Ⅱ
000524,岭南控股,2067,酒店餐饮,5166,酒店
000525,红 太 阳,2018,农药,5067,农药Ⅱ
000526,*ST紫学,2073,文化传媒,5204,文化传媒Ⅱ
000528,柳    工,2034,工程机械,5098,工程机械Ⅱ
000529,广弘控股,2009,食品饮料,5213,食品
000530,大冷股份,2038,专用设备,5106,制冷设备
000531,穗恒运Ａ,2052,电力,5135,火电
000532,华金资本,2075,多元金融,5190,多元金融Ⅱ
000533,万 家 乐,2039,电气设备,5116,输变电设备
000534,万泽股份,2072,房地产,5191,房地产Ⅱ
000536,华映科技,2047,电子元器件,5140,显示器件
000537,广宇发展,2072,房地产,5191,房地产Ⅱ
000538,云南白药,2022,中药,5073,民族药
000539,粤电力Ａ,2052,电力,5135,火电
000540,中天金融,2075,多元金融,5190,多元金融Ⅱ
000541,佛山照明,2040,家电,5123,小家电
000543,皖能电力,2052,电力,5135,火电
000544,中原环保,2053,公用事业,5139,水务
000545,金浦钛业,2016,化工,5055,其他化工制品
000546,金圆股份,2029,水泥,5087,水泥Ⅱ
000547,航天发展,2045,航天国防,5130,航天国防Ⅱ
000548,湖南投资,2059,高速公路,5181,高速公路Ⅱ
000550,江铃汽车,2042,汽车制造,5124,商用载货车
000551,创元科技,2082,环境保护,5216,环境保护Ⅱ
000552,靖远煤电,2004,煤炭,5010,煤炭Ⅱ
000553,沙隆达Ａ,2018,农药,5067,农药Ⅱ
000554,泰山石油,2005,石油石化,5012,石油贸易
000555,神州信息,2048,通信设备,5148,通信方案提供商
000557,西部创业,2055,铁路运输,5177,铁路运输Ⅱ
000558,莱茵体育,2073,文化传媒,5204,文化传媒Ⅱ
000559,万向钱潮,2043,汽车配件,5129,汽车配件Ⅱ
000560,昆百大Ａ,2066,零售业,5162,百货
000561,烽火电子,2048,通信设备,5147,通信终端设备
000563,陕国投Ａ,2075,多元金融,5190,多元金融Ⅱ
000564,供销大集,2066,零售业,5162,百货
000565,渝三峡Ａ,2016,化工,5049,涂料油漆
000566,海南海药,2021,医药制造,5072,化学药剂
000567,海德股份,2075,多元金融,5190,多元金融Ⅱ
000568,泸州老窖,2010,酿酒,5030,白酒
000570,苏常柴Ａ,2043,汽车配件,5128,汽车发动机
000571,新大洲Ａ,2004,煤炭,5010,煤炭Ⅱ
000572,海马汽车,2042,汽车制造,5125,乘用车
000573,粤宏远Ａ,2072,房地产,5191,房地产Ⅱ
000576,广东甘化,2014,造纸,5043,普通纸
000581,威孚高科,2043,汽车配件,5128,汽车发动机
000582,北部湾港,2060,港口,5182,港口Ⅱ
000584,哈工智能,2038,专用设备,5114,其他专用设备
000585,东北电气,2039,电气设备,5116,输变电设备
000586,汇源通信,2051,通信服务,5152,通信服务Ⅱ
000587,金洲慈航,2079,轻工产品,5217,家用轻工
000589,黔轮胎Ａ,2081,塑胶制品,5212,橡胶
000590,启迪古汉,2022,中药,5074,中成药
000591,太阳能,2077,复合材料,5083,光伏电池
000592,平潭发展,2001,农林,5003,林业
000593,大通燃气,2053,公用事业,5137,供气
000595,*ST宝实,2037,机械配件,5094,轴承阀门制造
000596,古井贡酒,2010,酿酒,5030,白酒
000597,东北制药,2021,医药制造,5072,化学药剂
000598,兴蓉环境,2053,公用事业,5139,水务
000599,青岛双星,2081,塑胶制品,5212,橡胶
000600,建投能源,2052,电力,5135,火电
000601,韶能股份,2052,电力,5134,水电
000603,盛达矿业,2007,有色金属,5021,金属采掘
000605,渤海股份,2053,公用事业,5139,水务
000606,神州易桥,2076,互联网,5158,互联网Ⅱ
000607,华媒控股,2073,文化传媒,5170,出版发行
000608,阳光股份,2072,房地产,5191,房地产Ⅱ
000609,绵石投资,2072,房地产,5191,房地产Ⅱ
000610,西安旅游,2068,旅游,5169,旅游服务
000611,天首发展,2011,纺织,5036,棉纺
000612,焦作万方,2007,有色金属,5019,金属压延
000613,*ST东海A,2067,酒店餐饮,5166,酒店
000615,京汉股份,2072,房地产,5191,房地产Ⅱ
000616,海航投资,2072,房地产,5191,房地产Ⅱ
000617,中油资本,2075,多元金融,5190,多元金融Ⅱ
000619,海螺型材,2032,建材,5092,其他建材
000620,新华联,2072,房地产,5191,房地产Ⅱ
000622,恒立实业,2043,汽车配件,5129,汽车配件Ⅱ
000623,吉林敖东,2022,中药,5074,中成药
000625,长安汽车,2042,汽车制造,5125,乘用车
000626,远大控股,2064,贸易,5159,贸易Ⅱ
000627,天茂集团,2071,保险,5187,保险Ⅱ
000628,高新发展,2054,工程建筑,5192,一般工程
000629,*ST钒钛,2006,钢铁,5016,铁矿石
000630,铜陵有色,2007,有色金属,5021,金属采掘
000631,顺发恒业,2072,房地产,5191,房地产Ⅱ
000632,三木集团,2064,贸易,5159,贸易Ⅱ
000633,合金投资,2078,综合行业,5199,综合行业Ⅱ
000635,英 力 特,2016,化工,5048,氯碱
000636,风华高科,2047,电子元器件,5141,基础元器件
000637,茂化实华,2005,石油石化,5011,石油加工
000638,万方发展,2064,贸易,5159,贸易Ⅱ
000639,西王食品,2009,食品饮料,5213,食品
000650,仁和药业,2022,中药,5074,中成药
000651,格力电器,2040,家电,5122,白色家电
000652,泰达股份,2078,综合行业,5199,综合行业Ⅱ
000655,金岭矿业,2006,钢铁,5016,铁矿石
000656,金科股份,2072,房地产,5191,房地产Ⅱ
000657,中钨高新,2008,有色矿采,5202,稀有金属
000659,*ST中富,2015,包装印刷,5047,包装
000661,长春高新,2023,生物制品,5075,基因工程药物
000662,天夏智慧,2063,软件及系统,5155,行业应用系统
000663,永安林业,2001,农林,5003,林业
000665,湖北广电,2073,文化传媒,5171,有线电视网络
000666,经纬纺机,2075,多元金融,5190,多元金融Ⅱ
000667,美好置业,2072,房地产,5191,房地产Ⅱ
000668,荣丰控股,2072,房地产,5191,房地产Ⅱ
000669,金鸿控股,2053,公用事业,5137,供气
000670,盈方微,2047,电子元器件,5143,集成电路
000671,阳 光 城,2072,房地产,5191,房地产Ⅱ
000672,上峰水泥,2029,水泥,5087,水泥Ⅱ
000673,当代东方,2073,文化传媒,5173,广播电影电视
000676,智度股份,2076,互联网,5158,互联网Ⅱ
000677,恒天海龙,2020,化纤,5061,粘胶纤维
000678,襄阳轴承,2043,汽车配件,5129,汽车配件Ⅱ
000679,大连友谊,2066,零售业,5162,百货
000680,山推股份,2034,工程机械,5098,工程机械Ⅱ
000681,视觉中国,2073,文化传媒,5173,广播电影电视
000682,东方电子,2039,电气设备,5115,电气自控设备
000683,远兴能源,2016,化工,5050,纯碱
000685,中山公用,2053,公用事业,5139,水务
000686,东北证券,2070,证券期货,5188,证券
000687,华讯方舟,2048,通信设备,5150,通信交换传输设备
000688,建新矿业,2007,有色金属,5021,金属采掘
000690,宝新能源,2052,电力,5135,火电
000691,ST亚太,2072,房地产,5191,房地产Ⅱ
000692,惠天热电,2053,公用事业,5138,供暖
000693,*ST华泽,2007,有色金属,5021,金属采掘
000695,滨海能源,2053,公用事业,5138,供暖
000697,炼石有色,2008,有色矿采,5202,稀有金属
000698,沈阳化工,2016,化工,5055,其他化工制品
000700,模塑科技,2043,汽车配件,5129,汽车配件Ⅱ
000701,厦门信达,2064,贸易,5159,贸易Ⅱ
000702,正虹科技,2003,饲料加工,5008,饲料加工Ⅱ
000703,恒逸石化,2005,石油石化,5011,石油加工
000705,浙江震元,2024,医药流通,5080,医药流通Ⅱ
000707,双环科技,2016,化工,5050,纯碱
000708,大冶特钢,2006,钢铁,5017,特钢
000709,河钢股份,2006,钢铁,5015,普钢
000710,贝瑞基因,2023,生物制品,5075,基因工程药物
000711,京蓝科技,2078,综合行业,5199,综合行业Ⅱ
000712,锦龙股份,2070,证券期货,5188,证券
000713,丰乐种业,2001,农林,5001,种业
000715,中兴商业,2066,零售业,5162,百货
000716,黑芝麻,2009,食品饮料,5213,食品
000717,韶钢松山,2006,钢铁,5015,普钢
000718,苏宁环球,2072,房地产,5191,房地产Ⅱ
000719,大地传媒,2073,文化传媒,5170,出版发行
000720,新能泰山,2052,电力,5135,火电
000721,西安饮食,2067,酒店餐饮,5167,餐饮
000722,湖南发展,2052,电力,5134,水电
000723,美锦能源,2004,煤炭,5009,焦炭
000725,京东方Ａ,2047,电子元器件,5140,显示器件
000726,鲁  泰Ａ,2011,纺织,5036,棉纺
000727,华东科技,2047,电子元器件,5141,基础元器件
000728,国元证券,2070,证券期货,5188,证券
000729,燕京啤酒,2010,酿酒,5032,啤酒
000731,四川美丰,2017,化肥,5056,氮肥
000732,泰禾集团,2072,房地产,5191,房地产Ⅱ
000733,振华科技,2047,电子元器件,5141,基础元器件
000735,罗 牛 山,2002,牧渔,5004,养殖畜牧
000736,中交地产,2072,房地产,5191,房地产Ⅱ
000737,南风化工,2019,日用化工,5066,日用化工Ⅱ
000738,航发控制,2045,航天国防,5130,航天国防Ⅱ
000739,普洛药业,2021,医药制造,5071,化学原料药
000750,国海证券,2070,证券期货,5188,证券
000751,锌业股份,2007,有色金属,5019,金属压延
000752,西藏发展,2010,酿酒,5032,啤酒
000753,漳州发展,2066,零售业,5161,汽车服务
000755,*ST三维,2016,化工,5051,精细化工
000756,新华制药,2021,医药制造,5071,化学原料药
000757,浩物股份,2043,汽车配件,5128,汽车发动机
000758,中色股份,2007,有色金属,5021,金属采掘
000759,中百集团,2066,零售业,5163,超市连锁
000760,斯太尔,2043,汽车配件,5129,汽车配件Ⅱ
000761,本钢板材,2006,钢铁,5015,普钢
000762,西藏矿业,2008,有色矿采,5202,稀有金属
000766,通化金马,2022,中药,5074,中成药
000767,漳泽电力,2052,电力,5135,火电
000768,中航飞机,2045,航天国防,5130,航天国防Ⅱ
000776,广发证券,2070,证券期货,5188,证券
000777,中核科技,2037,机械配件,5094,轴承阀门制造
000778,新兴铸管,2033,金属制品,5093,金属制品Ⅱ
000779,三毛派神,2011,纺织,5037,毛纺
000780,*ST平能,2004,煤炭,5010,煤炭Ⅱ
000782,美达股份,2020,化纤,5063,锦纶
000783,长江证券,2070,证券期货,5188,证券
000785,武汉中商,2066,零售业,5162,百货
000786,北新建材,2032,建材,5092,其他建材
000788,北大医药,2024,医药流通,5080,医药流通Ⅱ
000789,万年青,2029,水泥,5087,水泥Ⅱ
000790,泰合健康,2022,中药,5074,中成药
000791,甘肃电投,2052,电力,5134,水电
000792,盐湖股份,2017,化肥,5057,钾肥
000793,华闻传媒,2073,文化传媒,5170,出版发行
000795,英洛华,2039,电气设备,5116,输变电设备
000796,凯撒旅游,2068,旅游,5169,旅游服务
000797,中国武夷,2072,房地产,5191,房地产Ⅱ
000798,中水渔业,2002,牧渔,5005,海洋捕捞
000799,酒鬼酒,2010,酿酒,5030,白酒
000800,一汽轿车,2042,汽车制造,5125,乘用车
000801,四川九洲,2048,通信设备,5147,通信终端设备
000802,北京文化,2073,文化传媒,5173,广播电影电视
000803,*ST金宇,2078,综合行业,5199,综合行业Ⅱ
000806,银河生物,2023,生物制品,5079,生物制品Ⅱ
000807,云铝股份,2007,有色金属,5021,金属采掘
000809,*ST新城,2072,房地产,5191,房地产Ⅱ
000810,创维数字,2050,电子设备,5154,电子设备Ⅱ
000811,冰轮环境,2038,专用设备,5106,制冷设备
000812,陕西金叶,2015,包装印刷,5046,印刷
000813,德展健康,2021,医药制造,5072,化学药剂
000815,美利云,2063,软件及系统,5155,行业应用系统
000816,智慧农业,2038,专用设备,5114,其他专用设备
000818,方大化工,2016,化工,5048,氯碱
000819,岳阳兴长,2005,石油石化,5011,石油加工
000820,神雾节能,2082,环境保护,5216,环境保护Ⅱ
000821,京山轻机,2036,轻工机械,5102,印刷包装机械
000822,山东海化,2016,化工,5050,纯碱
000823,超声电子,2047,电子元器件,5142,印制电路板
000825,太钢不锈,2006,钢铁,5017,特钢
000826,启迪桑德,2082,环境保护,5216,环境保护Ⅱ
000828,东莞控股,2059,高速公路,5181,高速公路Ⅱ
000829,天音控股,2066,零售业,5165,其他商业
000830,鲁西化工,2017,化肥,5056,氮肥
000831,五矿稀土,2008,有色矿采,5202,稀有金属
000833,贵糖股份,2009,食品饮料,5213,食品
000835,长城动漫,2073,文化传媒,5173,广播电影电视
000836,鑫茂科技,2048,通信设备,5149,光纤光缆
000837,秦川机床,2035,机床设备,5099,机床
000838,财信发展,2072,房地产,5191,房地产Ⅱ
000839,中信国安,2073,文化传媒,5171,有线电视网络
000848,承德露露,2009,食品饮料,5214,饮料
000850,华茂股份,2011,纺织,5036,棉纺
000851,高鸿股份,2048,通信设备,5147,通信终端设备
000852,石化机械,2038,专用设备,5111,石油开采设备
000856,冀东装备,2034,工程机械,5098,工程机械Ⅱ
000858,五 粮 液,2010,酿酒,5030,白酒
000859,国风塑业,2081,塑胶制品,5211,塑料
000860,顺鑫农业,2010,酿酒,5030,白酒
000861,海印股份,2072,房地产,5191,房地产Ⅱ
000862,银星能源,2052,电力,5209,电力Ⅱ
000863,三湘印象,2072,房地产,5191,房地产Ⅱ
000868,安凯客车,2042,汽车制造,5126,商用载客车
000869,张  裕Ａ,2010,酿酒,5031,葡萄酒
000875,吉电股份,2052,电力,5135,火电
000876,新 希 望,2003,饲料加工,5008,饲料加工Ⅱ
000877,天山股份,2029,水泥,5087,水泥Ⅱ
000878,云南铜业,2007,有色金属,5021,金属采掘
000880,潍柴重机,2044,船舶制造,5131,船舶制造Ⅱ
000881,中广核技,2078,综合行业,5199,综合行业Ⅱ
000882,华联股份,2066,零售业,5162,百货
000883,湖北能源,2052,电力,5135,火电
000885,同力水泥,2029,水泥,5087,水泥Ⅱ
000886,海南高速,2059,高速公路,5181,高速公路Ⅱ
000887,中鼎股份,2081,塑胶制品,5212,橡胶
000888,峨眉山Ａ,2068,旅游,5168,旅游Ⅱ
000889,茂业通信,2051,通信服务,5152,通信服务Ⅱ
000890,法 尔 胜,2033,金属制品,5093,金属制品Ⅱ
000892,欢瑞世纪,2073,文化传媒,5173,广播电影电视
000893,东凌国际,2078,综合行业,5199,综合行业Ⅱ
000895,双汇发展,2009,食品饮料,5213,食品
000897,津滨发展,2072,房地产,5191,房地产Ⅱ
000898,鞍钢股份,2006,钢铁,5015,普钢
000899,赣能股份,2052,电力,5135,火电
000900,现代投资,2059,高速公路,5181,高速公路Ⅱ
000901,航天科技,2041,仪器仪表,5120,仪器仪表Ⅱ
000902,新洋丰,2017,化肥,5058,磷肥
000903,云内动力,2043,汽车配件,5128,汽车发动机
000905,厦门港务,2060,港口,5182,港口Ⅱ
000906,浙商中拓,2064,贸易,5159,贸易Ⅱ
000908,景峰医药,2021,医药制造,5072,化学药剂
000909,数源科技,2078,综合行业,5199,综合行业Ⅱ
000910,大亚圣象,2013,木材家具,5042,木材家具Ⅱ
000911,南宁糖业,2009,食品饮料,5213,食品
000912,泸天化,2017,化肥,5056,氮肥
000913,钱江摩托,2046,摩托自行车,5132,助动车
000915,山大华特,2021,医药制造,5072,化学药剂
000916,华北高速,2059,高速公路,5181,高速公路Ⅱ
000917,电广传媒,2073,文化传媒,5172,广告
000918,嘉凯城,2072,房地产,5191,房地产Ⅱ
000919,金陵药业,2021,医药制造,5072,化学药剂
000920,南方汇通,2077,复合材料,5082,复合材料Ⅱ
000921,海信科龙,2040,家电,5122,白色家电
000922,*ST佳电,2039,电气设备,5115,电气自控设备
000923,河北宣工,2034,工程机械,5098,工程机械Ⅱ
000925,众合科技,2038,专用设备,5114,其他专用设备
000926,福星股份,2072,房地产,5191,房地产Ⅱ
000927,一汽夏利,2042,汽车制造,5125,乘用车
000928,中钢国际,2054,工程建筑,5192,一般工程
000929,兰州黄河,2010,酿酒,5032,啤酒
000930,中粮生化,2016,化工,5055,其他化工制品
000931,中 关 村,2054,工程建筑,5192,一般工程
000932,*ST华菱,2006,钢铁,5015,普钢
000933,神火股份,2007,有色金属,5019,金属压延
000935,四川双马,2029,水泥,5087,水泥Ⅱ
000936,华西股份,2020,化纤,5064,涤纶
000937,冀中能源,2004,煤炭,5010,煤炭Ⅱ
000938,紫光股份,2049,IT设备,5153,IT设备Ⅱ
000939,凯迪生态,2052,电力,5135,火电
000948,南天信息,2063,软件及系统,5155,行业应用系统
000949,新乡化纤,2020,化纤,5061,粘胶纤维
000950,*ST建峰,2017,化肥,5056,氮肥
000951,中国重汽,2042,汽车制造,5124,商用载货车
000952,广济药业,2021,医药制造,5071,化学原料药
000953,*ST河化,2017,化肥,5056,氮肥
000955,欣龙控股,2011,纺织,5036,棉纺
000957,中通客车,2042,汽车制造,5126,商用载客车
000958,东方能源,2052,电力,5135,火电
000959,首钢股份,2006,钢铁,5015,普钢
000960,锡业股份,2007,有色金属,5021,金属采掘
000961,中南建设,2072,房地产,5191,房地产Ⅱ
000962,东方钽业,2007,有色金属,5019,金属压延
000963,华东医药,2024,医药流通,5080,医药流通Ⅱ
000965,天保基建,2072,房地产,5191,房地产Ⅱ
000966,长源电力,2052,电力,5135,火电
000967,盈峰环境,2082,环境保护,5216,环境保护Ⅱ
000968,蓝焰控股,2004,煤炭,5010,煤炭Ⅱ
000969,安泰科技,2033,金属制品,5093,金属制品Ⅱ
000970,中科三环,2077,复合材料,5082,复合材料Ⅱ
000971,高升控股,2076,互联网,5158,互联网Ⅱ
000972,*ST中基,2009,食品饮料,5213,食品
000973,佛塑科技,2081,塑胶制品,5211,塑料
000975,银泰资源,2007,有色金属,5021,金属采掘
000976,华铁股份,2038,专用设备,5104,铁路设备
000977,浪潮信息,2049,IT设备,5153,IT设备Ⅱ
000978,桂林旅游,2068,旅游,5168,旅游Ⅱ
000979,中弘股份,2072,房地产,5191,房地产Ⅱ
000980,众泰汽车,2042,汽车制造,5125,乘用车
000981,银亿股份,2072,房地产,5191,房地产Ⅱ
000982,*ST 中绒,2011,纺织,5037,毛纺
000983,西山煤电,2004,煤炭,5010,煤炭Ⅱ
000985,大庆华科,2016,化工,5051,精细化工
000987,越秀金控,2075,多元金融,5190,多元金融Ⅱ
000988,华工科技,2047,电子元器件,5140,显示器件
000989,九 芝 堂,2022,中药,5074,中成药
000990,诚志股份,2016,化工,5051,精细化工
000993,闽东电力,2052,电力,5134,水电
000995,皇台酒业,2010,酿酒,5030,白酒
000996,中国中期,2070,证券期货,5189,期货
000997,新 大 陆,2063,软件及系统,5155,行业应用系统
000998,隆平高科,2001,农林,5001,种业
000999,华润三九,2022,中药,5074,中成药
001696,宗申动力,2046,摩托自行车,5132,助动车
001896,豫能控股,2052,电力,5135,火电
001979,招商蛇口,2072,房地产,5191,房地产Ⅱ
002001,新 和 成,2021,医药制造,5071,化学原料药
002002,鸿达兴业,2016,化工,5050,纯碱
002003,伟星股份,2012,服装,5041,服装辅料
002004,华邦健康,2025,医疗服务,5205,医疗服务Ⅱ
002005,德豪润达,2040,家电,5123,小家电
002006,精功科技,2038,专用设备,5114,其他专用设备
002007,华兰生物,2023,生物制品,5076,血液制品
002008,大族激光,2050,电子设备,5154,电子设备Ⅱ
002009,天奇股份,2041,仪器仪表,5119,工业控制自动化
002010,传化智联,2016,化工,5051,精细化工
002011,盾安环境,2040,家电,5122,白色家电
002012,凯恩股份,2014,造纸,5044,特种纸
002013,中航机电,2045,航天国防,5130,航天国防Ⅱ
002014,永新股份,2015,包装印刷,5046,印刷
002015,霞客环保,2020,化纤,5064,涤纶
002016,世荣兆业,2072,房地产,5191,房地产Ⅱ
002017,东信和平,2047,电子元器件,5143,集成电路
002018,华信国际,2005,石油石化,5011,石油加工
002019,亿帆医药,2021,医药制造,5071,化学原料药
002020,京新药业,2021,医药制造,5071,化学原料药
002021,中捷资源,2036,轻工机械,5101,纺织服装机械
002022,科华生物,2023,生物制品,5078,诊断试剂
002023,海特高新,2058,航空运输,5180,航空运输Ⅱ
002024,苏宁云商,2066,零售业,5164,电器连锁
002025,航天电器,2047,电子元器件,5141,基础元器件
002026,山东威达,2037,机械配件,5097,其他基础件
002027,分众传媒,2073,文化传媒,5172,广告
002028,思源电气,2039,电气设备,5116,输变电设备
002029,七 匹 狼,2012,服装,5040,服装Ⅱ
002030,达安基因,2023,生物制品,5078,诊断试剂
002031,巨轮智能,2038,专用设备,5112,轮胎制造设备
002032,苏 泊 尔,2040,家电,5123,小家电
002033,丽江旅游,2068,旅游,5168,旅游Ⅱ
002034,美 欣 达,2011,纺织,5035,印染
002035,华帝股份,2040,家电,5123,小家电
002036,联创电子,2047,电子元器件,5140,显示器件
002037,久联发展,2016,化工,5052,民爆
002038,双鹭药业,2023,生物制品,5075,基因工程药物
002039,黔源电力,2052,电力,5134,水电
002040,南 京 港,2060,港口,5182,港口Ⅱ
002041,登海种业,2001,农林,5001,种业
002042,华孚时尚,2011,纺织,5036,棉纺
002043,兔 宝 宝,2013,木材家具,5042,木材家具Ⅱ
002044,美年健康,2025,医疗服务,5205,医疗服务Ⅱ
002045,国光电器,2047,电子元器件,5146,其他电子元器件
002046,轴研科技,2037,机械配件,5094,轴承阀门制造
002047,宝鹰股份,2054,工程建筑,5194,建筑装饰
002048,宁波华翔,2043,汽车配件,5129,汽车配件Ⅱ
002049,紫光国芯,2047,电子元器件,5143,集成电路
002050,三花智控,2040,家电,5122,白色家电
002051,中工国际,2054,工程建筑,5193,专业工程
002052,同洲电子,2048,通信设备,5147,通信终端设备
002053,云南能投,2016,化工,5053,无机盐
002054,德美化工,2016,化工,5051,精细化工
