代码,名称,二级行业代码,二级行业名称,三级行业代码,三级行业名称
600817,*ST宏盛,2075,多元金融,5190,多元金融Ⅱ
600818,中路股份,2046,摩托自行车,5133,自行车
600819,耀皮玻璃,2032,建材,5090,玻璃
600820,隧道股份,2054,工程建筑,5193,专业工程
600821,津劝业,2066,零售业,5162,百货
600822,上海物贸,2064,贸易,5159,贸易Ⅱ
600823,世茂股份,2072,房地产,5191,房地产Ⅱ
600824,益民集团,2066,零售业,5162,百货
600825,新华传媒,2073,文化传媒,5170,出版发行
600826,兰生股份,2064,贸易,5159,贸易Ⅱ
600827,百联股份,2066,零售业,5163,超市连锁
600828,茂业商业,2066,零售业,5162,百货
600829,人民同泰,2024,医药流通,5080,医药流通Ⅱ
600830,香溢融通,2075,多元金融,5190,多元金融Ⅱ
600831,广电网络,2073,文化传媒,5171,有线电视网络
600833,第一医药,2024,医药流通,5080,医药流通Ⅱ
600834,申通地铁,2056,公共交通,5184,公共交通Ⅱ
600835,上海机电,2038,专用设备,5105,电梯
600836,界龙实业,2015,包装印刷,5046,印刷
600837,海通证券,2070,证券期货,5188,证券
600838,上海九百,2066,零售业,5162,百货
600839,四川长虹,2040,家电,5121,黑色家电
600841,上柴股份,2043,汽车配件,5128,汽车发动机
600843,上工申贝,2036,轻工机械,5101,纺织服装机械
600844,*ST丹科,2016,化工,5055,其他化工制品
600845,宝信软件,2063,软件及系统,5155,行业应用系统
600846,同济科技,2054,工程建筑,5192,一般工程
600847,*ST万里,2077,复合材料,5082,复合材料Ⅱ
600848,上海临港,2072,房地产,5191,房地产Ⅱ
600850,华东电脑,2049,IT设备,5153,IT设备Ⅱ
600851,海欣股份,2011,纺织,5037,毛纺
600853,龙建股份,2054,工程建筑,5192,一般工程
600854,春兰股份,2040,家电,5122,白色家电
600855,航天长峰,2045,航天国防,5130,航天国防Ⅱ
600856,中天能源,2053,公用事业,5137,供气
600857,宁波中百,2066,零售业,5162,百货
600858,银座股份,2066,零售业,5162,百货
600859,王府井,2066,零售业,5162,百货
600860,*ST京城,2038,专用设备,5114,其他专用设备
600861,北京城乡,2066,零售业,5162,百货
600862,中航高科,2077,复合材料,5082,复合材料Ⅱ
600863,内蒙华电,2052,电力,5135,火电
600864,哈投股份,2053,公用事业,5138,供暖
600865,百大集团,2066,零售业,5162,百货
600866,星湖科技,2009,食品饮料,5213,食品
600867,通化东宝,2023,生物制品,5075,基因工程药物
600868,梅雁吉祥,2052,电力,5134,水电
600869,智慧能源,2039,电气设备,5116,输变电设备
600870,厦华电子,2040,家电,5121,黑色家电
600871,石化油服,2005,石油石化,5013,石油技术服务
600872,中炬高新,2009,食品饮料,5213,食品
600873,梅花生物,2009,食品饮料,5213,食品
600874,创业环保,2053,公用事业,5139,水务
600875,东方电气,2039,电气设备,5117,发电机组
600876,洛阳玻璃,2032,建材,5090,玻璃
600877,*ST嘉陵,2046,摩托自行车,5132,助动车
600879,航天电子,2045,航天国防,5130,航天国防Ⅱ
600880,博瑞传播,2073,文化传媒,5170,出版发行
600881,亚泰集团,2029,水泥,5087,水泥Ⅱ
600882,广泽股份,2009,食品饮料,5213,食品
600883,博闻科技,2029,水泥,5087,水泥Ⅱ
600884,杉杉股份,2077,复合材料,5082,复合材料Ⅱ
600885,宏发股份,2039,电气设备,5116,输变电设备
600886,国投电力,2052,电力,5135,火电
600887,伊利股份,2009,食品饮料,5213,食品
600888,新疆众和,2007,有色金属,5019,金属压延
600889,南京化纤,2020,化纤,5061,粘胶纤维
600890,中房股份,2072,房地产,5191,房地产Ⅱ
600891,秋林集团,2079,轻工产品,5217,家用轻工
600892,大晟文化,2073,文化传媒,5173,广播电影电视
600893,航发动力,2045,航天国防,5130,航天国防Ⅱ
600894,广日股份,2038,专用设备,5105,电梯
600895,张江高科,2072,房地产,5191,房地产Ⅱ
600896,览海投资,2025,医疗服务,5205,医疗服务Ⅱ
600897,厦门空港,2061,机场,5183,机场Ⅱ
600898,国美通讯,2048,通信设备,5147,通信终端设备
600900,长江电力,2052,电力,5134,水电
600903,贵州燃气,2053,公用事业,5137,供气
600908,无锡银行,2069,银行,5186,银行Ⅱ
