date,returnRate
2013-09-17,-0.015260454088283908
2013-09-18,0.028719995979659668
2013-09-23,0.025115081428268828
2013-09-24,0.015481093355063749
2013-09-25,-0.009463211163826929
2013-09-26,0.0035029162782123997
2013-09-27,0.01766001893060059
2013-09-30,0.021842845216807485
2013-10-08,0.00693253172865353
2013-10-09,0.018823313533223075
2013-10-10,-0.017583548950451135
2013-10-11,0.005656032049948953
2013-10-14,0.014693779254676945
2013-10-15,0.01814872400578385
2013-10-16,-0.036431183830486324
2013-10-17,0.0018786929287025744
2013-10-18,0.004360144775425478
2013-10-21,0.03812433677138063
2013-10-22,-0.02498807342611279
2013-10-23,-0.04036798217544473
2013-10-24,-0.0006646178595045129
2013-10-25,-0.023773074782004706
2013-10-28,0.007040773419931983
2013-10-29,-0.01651873835382334
